text,label
"Owner-managed 2BR apartment, no agents please, contact me directly at the number in this listing.",owner
"I am the property owner renting out my basement unit, no application fee, cash or check only.",owner
"Private landlord, principals only, no realtors, please call or text directly.",owner
"Renting my late mother's house, first time landlord, happy to answer any questions directly.",owner
"House for rent by owner, no HOA, no property management company involved.",owner
"Direct from owner, small building I manage myself, 4 units total, I live next door.",owner
"No agents/brokers please, this is a private rental, owner occupied duplex.",owner
"I'm the landlord, flexible on move in date, no broker fee since there is no broker.",owner
"For rent by owner. Please do not contact if you are a leasing agent or property manager.",owner
"Studio apartment, owner managed, small pets considered, contact me the owner directly.",owner
"Family owned rental, we personally screen tenants, no third party management.",owner
"Owner occupied triplex, renting the upstairs unit, no agency involved, straightforward lease.",owner
"Retired landlord renting my extra unit, easy application, no processing fee, just me.",owner
"Private owner, this is my only rental property, prefer long term tenants.",owner
"No credit check needed, owner just wants a reliable tenant, contact me the property owner.",owner
"Room for rent in my home, I am the homeowner, private landlord situation.",owner
"Duplex for rent, I own and manage this property myself, no company involved.",owner
"Owner selling other properties but keeping this one to rent, direct contact only.",owner
"Small time landlord with 2 properties, this is one of them, no management company.",owner
"Please reach out directly to the owner, no realtors or property managers will be considered.",owner
"Managed by ABC Property Management LLC. Please apply online through our portal.",agency
"This unit is professionally managed by Skyline Realty Group. Application fee is $50 per applicant.",agency
"Contact our leasing office to schedule a tour. Managed by Crestview Apartment Homes.",agency
"Our management company requires a credit and background check for all applicants, non-refundable fee applies.",agency
"Now leasing at Parkview Apartments, amenities include gym, pool, and 24hr maintenance staff.",agency
"Broker fee applies. Contact our licensed real estate agent to schedule a showing.",agency
"XYZ Realty is proud to present this luxury rental, managed by our professional leasing team.",agency
"Corporate housing available through our property management portfolio, multiple locations citywide.",agency
"Application must be submitted through our online tenant portal, processed by our leasing office.",agency
"This community is managed by Greystar. Please visit the leasing office for a tour.",agency
"Licensed real estate broker representing landlord, commission paid by tenant, schedule showing today.",agency
"Our property management team handles all maintenance requests through a 24/7 call center.",agency
"Managed by National Apartment Group, income must be 3x rent, credit check and background check required.",agency
"Leasing agent available for tours Monday-Friday 9-5, application fee non-refundable.",agency
"Now accepting applications, managed by Bluestone Property Management, equal housing opportunity.",agency
"Contact our team of leasing professionals to schedule your personalized tour today.",agency
"This listing is part of a larger portfolio managed by Horizon Realty Partners.",agency
"Rental application processed through RentSpree, managed by our corporate office.",agency
"Professionally managed community with on-site staff, gated access, and resident portal.",agency
"Our brokerage represents the landlord in this transaction, tenant broker fee applies.",agency
"Managed remotely by an out of state property management company, all communication via portal.",agency
